Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2019-04-13,5075.74,5122.01,5033.73,5063.63,4520.43702971,22996133.339409,5087.1482532041
2019-04-12,5037.82,5122.48,4912.0,5076.35,8057.03847684,40611392.583746,5040.4863648702
2019-04-11,5323.47,5344.31,4966.87,5040.2,15052.95606333,77058519.384806,5119.1619148166
2019-04-10,5184.03,5466.06,5161.0,5323.47,10723.93474696,56733870.626023,5290.3968519676
2019-04-09,5287.97,5288.95,5136.01,5192.6,9410.35350033,49074999.202523,5215.0006055354
2019-04-08,5192.92,5347.37,5127.68,5287.88,13344.98151487,69911564.036683,5238.7906239347
2019-04-07,5041.92,5253.49,5028.3,5190.85,10872.51935616,55878707.921444,5139.4443266532
2019-04-06,5041.0,5240.0,4900.0,5041.39,10049.84478829,51017111.456312,5076.4078979366
2019-04-05,4911.14,5067.62,4883.83,5039.73,13023.7465161,64917443.581105,4984.5444627515
2019-04-04,4972.83,5077.35,4778.59,4907.94,15898.11514808,78840978.393557,4959.1399772368
2019-04-03,4899.01,5345.0,4800.5,4978.23,29321.27268405,148435658.4112,5062.3879805853
2019-04-02,4133.93,5080.0,4130.64,4899.63,30686.17351442,144785689.15766,4718.2712138947
2019-04-01,4092.02,4150.0,4052.56,4136.32,7232.98731201,29807202.333951,4121.0085194616
2019-03-31,4094.92,4101.7,4074.29,4096.08,2402.58820541,9822820.4101503,4088.4327942807
2019-03-30,4090.0,4130.36,4040.0,4094.92,3923.1364664,16028640.274923,4085.6698236734
2019-03-29,4011.0,4102.57,4005.0,4090.0,8391.03462414,34098247.13969,4063.6522987992
2019-03-28,4025.5,4025.56,3992.6,4012.23,3927.54682157,15744777.98888,4008.8072031146
2019-03-27,3922.58,4037.11,3912.19,4025.5,8151.67504888,32592640.136116,3998.275193832
2019-03-26,3910.0,3936.36,3879.5,3922.58,4315.60487708,16861151.71637,3907.0193394949
2019-03-25,3970.23,3980.22,3850.45,3910.51,6913.36709721,27189380.941671,3932.8709960511
2019-03-24,3979.19,3980.97,3942.04,3969.99,2204.06560941,8742092.0181728,3966.3483613416
2019-03-23,3980.4,4001.17,3957.11,3982.52,2259.5645261,8995643.7368622,3981.1404511597
2019-03-22,3974.5,4000.81,3958.94,3982.07,3453.36892821,13748642.554385,3981.2261128761
2019-03-21,4033.7,4055.35,3919.63,3974.21,7561.75989694,30251309.866876,4000.5647202734
2019-03-20,3999.5,4050.0,3962.6,4031.59,6244.95370182,24964948.949653,3997.6195407786
2019-03-19,3969.94,4012.63,3947.15,3998.13,5317.45055524,21153639.862115,3978.1545013652
2019-03-18,3965.63,4016.63,3929.83,3969.59,5420.23037801,21505812.161197,3967.693374888
2019-03-17,3990.0,3992.42,3927.28,3965.5,2711.95016796,10744212.340622,3961.8030108216
2019-03-16,3899.19,4040.0,3899.12,3990.0,6959.47788339,27724833.658135,3983.7519599431
2019-03-15,3857.33,3912.06,3843.09,3901.21,6411.98332751,24876260.543419,3879.6514701918
2019-03-14,3848.1,3903.98,3775.01,3854.77,5167.56617609,19886126.849496,3848.2578010336
2019-03-13,3861.37,3874.68,3820.0,3848.48,4275.54000025,16469275.854359,3851.975622587
2019-03-12,3848.86,3877.69,3791.07,3859.74,5794.61473428,22283818.221575,3845.6082489398
2019-03-11,3898.14,3912.89,3812.64,3849.25,6612.11516125,25515157.451467,3858.8495253375
2019-03-10,3916.42,3916.43,3862.0,3897.92,3000.60671855,11673773.426072,3890.4710017156
2019-03-09,3841.27,3950.25,3835.66,3916.43,5125.89830383,19985226.611043,3898.8730221414
2019-03-08,3856.78,3924.37,3760.1,3844.64,7707.39667049,29803213.615286,3866.8327179003
2019-03-07,3851.26,3891.04,3826.13,3856.64,7964.50825371,30756305.290595,3861.6703393167
2019-03-06,3844.07,3895.12,3808.8,3851.55,6402.67507493,24600354.344838,3842.1994021159
2019-03-05,3698.65,3877.1,3690.0,3844.07,7280.82397551,27498624.645562,3776.856127556
